店名,种类,环境评分,服务评分,口味评分
椰妹原生态椰子鸡(成都大悦城店),火锅,4.34,4.52,4.72
蜀大侠火锅(总府路店),火锅,3.99,4.11,4.63
独食火锅?半米屋台(广都店),火锅,4.36,4.73,4.64
川江滋香老火锅(光明店),火锅,3.99,4.71,4.62
小龙坎老火锅(春熙概念店),火锅,4.74,4.04,4.51
川西坝子(清江东路3.0直营店),火锅,4.86,4.99,4.01
海底捞火锅(财富中心店),火锅,4.72,4.11,4.08
海底捞火锅(金牛凯德店),火锅,4.61,4.31,4.61
老地方私家老火锅(东升店),火锅,3.88,4.13,4.76
满盏老火锅,火锅,4.61,4.49,4.98
竹海听涛生态山庄,火锅,4.97,4.45,4.97
川西坝子(杜甫草堂2·0直营店),火锅,4.68,4.52,4.22
味之绝美蛙鱼头(温江店),火锅,4.42,4.31,4.48
海底捞火锅(红牌楼店),火锅,4.94,4.69,4
熬中堂牛排老火锅,火锅,3.92,3.94,4.37
泥巴小院市井火锅(犀浦店),火锅,4.17,4.17,4.31
雍容荟海鲜自助餐(苏宁城市奥莱店),火锅,4.76,4.97,4.58
爸爸炒料牛排老火锅(草堂店),火锅,4.56,4.8,4.06
蜀镇鲜货火锅(龙腾店),火锅,4.6,3.94,4.13
如在蜀毛肚老火锅(玉林店),火锅,4.08,4.04,4.01
银滩鲍鱼火锅(希望路店),火锅,4.1,3.97,3.97
集渔·泰式海鲜火锅(科华店),火锅,3.94,4.91,4.64
贵仕火锅,火锅,4.3,4.62,4.65
清泰园庭院火锅,火锅,3.88,3.94,3.9
大龙燚火锅(盐市口店),火锅,4.79,4.34,3.98
生如夏花泰式海鲜火锅(西村欢聚店),火锅,3.97,4.03,3.92
SAO骚火锅(新华店),火锅,3.93,4.25,4.53
味当家鱼头火锅(魅力城店),火锅,4.56,4.3,4.44
小龙翻大江火锅酒楼(春熙店),火锅,4.05,4.13,4.9
蜀九香火锅(新会展Art店),火锅,4.95,4.52,3.91
生如夏花泰式海鲜火锅(伊藤双楠店),火锅,4.1,4.75,4.19
醀爐（围炉）火锅,火锅,4.73,4.9,4.61
书芙蓉舒食小火锅(银泰城店),火锅,4.71,3.94,4.94
海底捞火锅(金楠天街店),火锅,4.73,4.74,4.02
李雪火锅食府(宽窄巷子总店),火锅,4.43,4.77,4.79
逗牛牛·纯手工牛油火锅(宽窄巷子店),火锅,4.26,4.72,4.24
生如夏花泰式海鲜火锅(万象城holiday店),火锅,4.02,4.2,4.05
爸爸炒料牛排老火锅(交大店),火锅,4.31,4.39,4.37
清沐湲泰式海鲜火锅(太古里店),火锅,4.14,4.43,4.34
大龙燚火锅(九眼桥店),火锅,4.3,4.72,4.21
重庆矮板凳老火锅(航空港店),火锅,4.27,4.88,4.84
上宴精品海鲜姿造(太古里晶融汇旗舰店),火锅,4.19,4.82,4.83
集渔·泰式海鲜火锅(建设店),火锅,3.89,4.35,4.57
蜀小匠牛排火锅(春熙路总店),火锅,4.44,4.39,4.28
巴蜀大将火锅(IFS概念店),火锅,4.78,4.01,4.24
清贫乐· 火锅蒸鸡(太古里店),火锅,3.97,4.47,4.47
贤合庄卤味火锅(太古里店),火锅,4.9,4.55,4.77
宽来火锅(成汉北路店),火锅,4.7,3.89,4.29
五虎将火锅(春熙路店),火锅,4.7,4.64,3.97
夏威夷全球海鲜姿造,火锅,3.88,4.75,4
sabaidee.萨芭蒂泰式料理餐酒吧(高空花园店),火锅,4.17,4.91,3.98
海底捞火锅(群光广场店),火锅,4.24,4.27,4.74
西洋風寿喜锅,火锅,4.28,4.95,4.88
袁百万牛杂火锅(科华路店),火锅,4.62,4.89,4.22
巴蜀印象火锅(犀浦店),火锅,3.89,4.81,3.87
吼堂老火锅(太古里总店),火锅,4.29,4.59,4.09
三搭火市井火锅(温江店),火锅,4.32,4.3,4.15
朴田泰式海鲜火锅(泛悦国际店),火锅,4.67,3.96,4.78
独食火锅?半米屋台(新城市广场店),火锅,4.29,4.82,4.62
谭鸭血老火锅(温江店),火锅,4.4,3.68,3.61
如在蜀毛肚老火锅(春熙店),火锅,4.29,4.42,4.55
生如夏花泰式海鲜火锅(鹭洲里店),火锅,4.19,4.43,4.4
四方火锅招待所,火锅,3.92,4,4.09
何平舅舅街市火锅(九眼桥舅舅家),火锅,4.49,4.54,4.04
洋盘货火锅铺(总店),火锅,4.39,3.89,4.92
青城腊排·川西特色铜火锅(创始店),火锅,4.92,4.65,4.21
三姐旺火鱼,火锅,4.43,4.24,4.46
嵿火锅,火锅,4.69,3.96,4.18
海底捞火锅(世豪广场店),火锅,4.04,4.06,4.44
蜀九香火锅(九眼桥店),火锅,4.66,4.19,4.68
Let's pu·璞泰式海鲜火锅,火锅,4.13,4.71,4.49
浅喜火锅,火锅,4.58,4.32,4.56
雷门火锅(太古里店),火锅,4.5,4.67,4.84
龙森园火锅,火锅,4.56,3.88,4.36
蜀大侠火锅(草堂店),火锅,4.28,4.13,4.93
蜀大侠(中坝店),火锅,4.62,4.12,4.44
蜀宗贰麻火锅(成都总店),火锅,4.19,4.31,4.16
大彤集老火锅,火锅,4.05,4.23,4.4
享月·汤皇(橡树林店),火锅,4.54,4.93,4.58
蜀九香火锅(东轩Art店),火锅,3.99,4.03,4.02
朝天门火锅(春熙路店),火锅,3.88,4.28,3.91
赤里火锅(新街里店),火锅,4.56,4.9,4.17
味当家鱼头火锅(金沙店),火锅,4.86,4.43,3.97
李八哥成都市井火锅(太古里店),火锅,4.73,3.94,4.17
辣斗辣火锅(太古里店),火锅,4.73,3.89,4.37
四千高原菌汤锅(天府二街店),火锅,4.06,3.91,4.16
拂晓(宽窄巷子店),火锅,4.11,4.42,4.52
四千高原菌汤锅(太古里店),火锅,4.37,3.88,4.98
海底捞火锅(王府井店),火锅,4.3,4.3,4.16
陈艳红老火锅(春熙路太古里旗舰店),火锅,4.78,3.67,4.54
蜀大侠火锅(春熙店),火锅,4.13,4.2,4.8
沸悦火锅(龙湖西宸天街店),火锅,4.14,4.49,3.9
两忘·一念起,火锅,4.33,4.44,3.89
川西坝子(金沙1.0直营店),火锅,4.18,4.5,4.57
蜀九香火锅(家家福店),火锅,4.14,4.79,4.17
8号火锅中餐厅(成都群光君悦酒店),火锅,4.8,4.94,4.54
娱记鱼乐圈蒸汽石锅鱼(万象城店),火锅,4.32,4.43,4.55
海底捞火锅(金牛龙湖北城天街店),火锅,4.25,4.01,4.52
重庆矮板凳老火锅(犀浦店),火锅,4.87,4.24,4.77
陈艳红市井老火锅(奎星楼店),火锅,4.92,4.99,4.53
青城渔夫·河鲜馆,火锅,4.15,4.81,4.08
蜀大侠火锅(动物园概念店),火锅,4.27,3.94,3.96
妙厨老爹泉水蒸汽石锅鱼(华阳店),火锅,4.07,4.7,4.3
渝宗老灶火锅(339店),火锅,4.24,3.92,4.41
锦城印象火锅(高新店),火锅,4.51,4.23,4.19
俏媳妇家庭火锅(宽窄巷子店),火锅,4.42,4.67,4.64
禄合門美蛙火锅(太古里店),火锅,4.05,4.39,4.23
烤匠麻辣烤鱼(IFS店),火锅,4.96,4.33,3.89
三豆官野菜馆,火锅,4.67,4.75,4.28
锦城印象火锅酒楼(彩虹店),火锅,4.38,3.95,4.49
吃城都·麻辣鱼火锅(西玉龙街店),火锅,4.22,4.49,4.83
一善·菌飧野生菌汤馆(鹭洲里店),火锅,4.75,4.78,3.94
不站花胶鸡(春熙店),火锅,4.9,3.88,4.14
壹骨留香跷脚牛肉(铁像寺店),火锅,4.37,4.38,4.95
蜀九香火锅(北坐标loft店),火锅,4.74,4.86,4.47
友邻有味 社区火锅(北泉路总店),火锅,4.85,4.83,4.86
张七芋儿肥肠鸡,火锅,4.18,4.69,4.99
大龙燚火锅(太古里店),火锅,4.21,4.75,4.94
不站花胶鸡(双流店),火锅,4.84,4.27,4.68
耙二哥腰片王重庆火锅(龙泉店),火锅,4.89,4.16,4.84
清真·牛不比火锅(建设路店),火锅,3.92,4.71,4.72
舌尖牧牛潮汕牛肉火锅(凯德广场店),火锅,3.9,4.74,4.48
二竺君·精品火锅,火锅,4.16,4.78,4.59
盐井记自贡美蛙鲜锅兔,火锅,4.47,4.28,4.83
陆派·玛歌庄园火锅（五龙山店）(五龙山店),火锅,4.51,4.93,4.87
江北老灶·三国义府火锅(武侯祠总店),火锅,4.67,3.9,4
徐记君味老火锅,火锅,4.09,4.97,4.64
全福居老北京涮羊肉,火锅,3.97,4.23,4.69
味当家鱼头火锅(紫荆店),火锅,4.5,4.77,4.02
锦城外婆市井火锅·锦城外婆炝锅鱼,火锅,4.12,3.07,4.28
都氏二当家·火系(高新店),火锅,4.32,4.81,3.91
小饕荟雅安贡椒河鲜馆,火锅,4.26,4.62,4.5
斗牛潮汕牛肉火锅(西二道街直营店),火锅,4.97,4.73,4.34
蜀镇老火锅(双楠总店),火锅,3.91,3.9,4.08
禄合門美蛙火锅(天府二街店),火锅,4.71,4.8,3.95
蜀大侠火锅(西玉龙店),火锅,3.89,4.63,4.81
谭鸭血老火锅(太古里店),火锅,4.64,4.23,4.58
海底捞火锅(成都大悦城店),火锅,4.91,4.94,4.58
乐山胖哥跷脚牛肉(东风路总店),火锅,4.59,4.7,4.3
乐山王屠夫跷脚牛肉,火锅,3.89,3.87,4.36
拈一筷子·宜宾江湖菜,火锅,3.9,4.08,4.75
不二·民谣 音乐餐吧(九眼桥店),火锅,4.49,4.75,4.15
享月·汤皇(UPARK公园店),火锅,4.46,4.95,4.38
晏记石锅苗苗鱼,火锅,4.38,4.74,4.39
直白火锅(石人店),火锅,4.97,4.72,4.05
不站·花胶鸡(桐梓林店),火锅,4.6,4.24,4.74
集渔·泰式海鲜火锅(龙泉店),火锅,4.73,4.52,4.4
吃城都·麻辣鱼火锅(总府路店),火锅,4.58,4.36,4.03
味江鲜鱼府,火锅,3.97,4.3,4.01
井口火火锅(西南财大店),火锅,4.87,4.86,4.09
生如夏花泰式海鲜火锅(龙湖滨江店),火锅,4.94,3.97,4.61
九品风山珍宝酒楼(科华中路店),火锅,4.15,4.83,4.48
海底捞火锅(阳光新业店),火锅,4.32,4.83,4.01
锦城印象火锅(天府三街店),火锅,4.8,4.33,4.51
至臻牛炖串串香(春熙路旗舰店),火锅,3.92,4.39,4.55
川西坝子(羊犀2.0直营店),火锅,4.4,4.37,4.9
五里井火锅(五里墩店),火锅,3.99,4.98,4.87
漾亚·雍雅河鲜(桐梓林店),火锅,4.13,4.09,4.47
月满大江(总府路店),火锅,4.25,4.44,4
巴蜀大将(武侯祠店),火锅,4.28,4.75,3.9
鸿社重庆老火锅,火锅,4.04,4.64,4.75
小龙翻大江火锅酒楼(宽窄店),火锅,4.92,4.63,4.05
渝味晓宇火锅,火锅,4.56,3.46,4.61
小称盘肥肠爱上鱼(总店),火锅,3.95,3.95,4.78
袁老四老火锅(太古里店),火锅,4.72,4.01,4.01
鱼夫鱼仔鹅卵石鱼火锅(致民路直营店),火锅,4.3,4.58,4.68
渣女老火锅,火锅,4.93,3.99,4.13
澳门星记猪骨(凯德永利皇宫店),火锅,4.33,3.92,4.81
秦记水佬坊·花胶鸡(春熙店),火锅,4.25,4.54,4.42
陈皓皓老火锅(天府长城店),火锅,4.66,4.65,4.41
牛牛和牛寿喜锅,火锅,4.9,4.93,4.23
园里火锅(天府三街店),火锅,4.54,4.79,4.88
渔里八号美蛙鱼头河鲜馆,火锅,4.31,4.35,4.04
正禾鲜牛潮汕牛肉火锅(仁和新城店),火锅,3.92,4.04,4
蜀九香火锅(百花iHome店),火锅,4.25,4.57,4.33
园里火锅(府城大道店),火锅,4.51,3.97,4.15
青丘,火锅,4.34,3.89,3.96
卤校长老火锅(银泰店),火锅,4.92,4.36,4.72
额尔敦必福牛匠(冻青树总店),火锅,4.69,4.49,4.57
四川皇三爷火锅(宽窄巷子店),火锅,4.45,4.29,3.97
石灰石烧鸡公(太古里店),火锅,4.86,4.35,4.57
尽膳口福跷脚牛肉(科华北路店),火锅,4.69,4.93,4.93
巴蜀大宅门火锅(北门大桥店),火锅,4.57,3.97,4.49
蜀江龙火锅(339店),火锅,4.19,4.6,3.91
堂口原味老火锅(中粮鸿云店),火锅,4.53,4.89,4.66
味之绝美蛙鱼头火锅(华阳二店),火锅,3.88,4.64,4.05
捞神汤物料理,火锅,4.78,4.42,4.21
天星正源火锅,火锅,4.35,4.35,4.46
额尔敦传统涮(解放路店),火锅,4.3,4.19,3.93
拈江湖鸭肠火锅(玉林店),火锅,3.93,4.04,4.44
大院河鲜(九眼桥店),火锅,3.98,4.51,4.56
巴蜀大宅门火锅(川音店),火锅,4.02,4.78,4.9
味之绝美蛙鱼头火锅(建设路店),火锅,4.43,4.58,4.49
匠岳·王宝器麻椒鱼(全国总店),火锅,4.67,4.78,4.74
袁老四老火锅(春熙路东大街店),火锅,4.84,4.12,4.52
味之绝热血美蛙鱼火锅(九眼桥店),火锅,4.13,4.88,3.96
澳门星记猪骨(龙湖滨江天街店),火锅,4.52,4.9,4.89
麻辣空间(武侯祠店),火锅,4.59,4.79,4.28
蓉城江湖市井火锅(隆兴街店),火锅,4.83,3.89,4.13
城门口老火锅(中航店),火锅,3.92,4.48,4.28
泰香茅(峰会中心店),火锅,4.57,4.81,4.27
丙申臺火锅(星宸店),火锅,4.14,4.21,4.21
